,address,name,online_order,book_table,rating,votes,location,cuisines,cost_per_person,type_of_restaurant
0,"942, 21st Main Road, 2nd Stage, Banashankari, Bangalore",Jalsa,Yes,Yes,4.1,775,Banashankari,"North Indian, Mughlai, Chinese",400.0,Buffet
1,"2nd Floor, 80 Feet Road, Near Big Bazaar, 6th Block, Kathriguppe, 3rd Stage, Banashankari, Bangalore",Spice Elephant,Yes,No,4.1,787,Banashankari,"Chinese, North Indian, Thai",400.0,Buffet
2,"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",San Churro Cafe,Yes,No,3.8,918,Banashankari,"Cafe, Mexican, Italian",400.0,Buffet
3,"1st Floor, Annakuteera, 3rd Stage, Banashankari, Bangalore",Addhuri Udupi Bhojana,No,No,3.7,88,Banashankari,"South Indian, North Indian",150.0,Buffet
4,"10, 3rd Floor, Lakshmi Associates, Gandhi Bazaar Main Road, Above Reliance Trends, Basavanagudi, Bangalore",Grand Village,No,No,3.8,166,Basavanagudi,"North Indian, Rajasthani",300.0,Buffet
5,"37, 5-1, 4th Floor, Bosco Court, Gandhi Bazaar Main Road, Basavanagudi, Bangalore",Timepass Dinner,Yes,No,3.8,286,Basavanagudi,North Indian,300.0,Buffet
6,"19/1, New Timberyard Layout, Beside Satellite Bus Stop, Mysore Road, Bangalore",Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,Mysore Road,"North Indian, South Indian, Andhra, Chinese",400.0,Buffet
7,"2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore",Onesta,Yes,Yes,4.6,2556,Banashankari,"Pizza, Cafe, Italian",300.0,Cafes
8,"1, 30th Main Road, 3rd Stage, Banashankari, Bangalore",Penthouse Cafe,Yes,No,4.0,324,Banashankari,"Cafe, Italian, Continental",350.0,Cafes
9,"2470, 21 Main Road, 25th Cross, Banashankari, Bangalore",Smacznego,Yes,No,4.2,504,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",275.0,Cafes
